subj_id,rt,response,nr_targets
pilot_3,0.77132623298,1.0,1.0
pilot_3,0.761190968737,1.0,1.0
pilot_3,0.555732725579,1.0,1.0
pilot_3,0.645190874504,1.0,2.0
pilot_3,0.691093202464,1.0,2.0
pilot_3,0.719931220308,1.0,2.0
pilot_3,0.847169969789,1.0,2.0
pilot_3,0.687005178621,1.0,2.0
pilot_3,0.793505257678,1.0,1.0
pilot_3,0.523951414212,1.0,1.0
pilot_3,0.614683185808,1.0,2.0
pilot_3,1.26807180329,1.0,2.0
pilot_3,0.788013121784,1.0,1.0
pilot_3,0.671134834016,1.0,2.0
pilot_3,0.656186404223,1.0,2.0
pilot_3,0.559987825496,1.0,1.0
pilot_3,0.771808444684,1.0,2.0
pilot_3,1.06289712746,0.0,2.0
pilot_3,0.675761156992,1.0,2.0
pilot_3,0.871141377789,1.0,1.0
pilot_3,0.885202185025,1.0,1.0
pilot_3,0.754192726003,0.0,1.0
pilot_3,0.616679550927,1.0,1.0
pilot_3,0.608607676699,1.0,1.0
pilot_3,0.755701155158,1.0,1.0
pilot_3,0.661291558139,1.0,2.0
pilot_3,0.930616940193,1.0,2.0
pilot_3,0.590391205911,1.0,1.0
pilot_3,0.613417488654,1.0,2.0
pilot_3,0.664529896803,1.0,1.0
pilot_3,0.744968660751,1.0,2.0
pilot_3,0.709974510301,1.0,1.0
pilot_3,0.86741912592,1.0,1.0
pilot_3,0.517616361729,1.0,2.0
pilot_3,0.549078412358,1.0,1.0
pilot_3,0.654257513994,0.0,1.0
pilot_3,0.625143533518,1.0,1.0
pilot_3,0.662194024451,1.0,1.0
pilot_3,1.25962783036,1.0,2.0
pilot_3,0.807736638926,1.0,1.0
pilot_3,0.614558207864,1.0,2.0
pilot_3,0.612554333693,1.0,2.0
pilot_3,0.53738593094,1.0,2.0
pilot_3,0.592902572545,1.0,2.0
pilot_3,0.867260371713,1.0,2.0
pilot_3,0.952238259251,1.0,1.0
pilot_3,0.516380414912,1.0,2.0
pilot_3,1.01795437852,1.0,2.0
pilot_3,0.849582652871,1.0,2.0
pilot_3,0.576864647523,1.0,1.0
pilot_3,0.66578325216,1.0,1.0
pilot_3,0.682321424589,1.0,2.0
pilot_3,0.486523238676,1.0,1.0
pilot_3,0.71284965377,1.0,2.0
pilot_3,0.66648814737,1.0,1.0
pilot_3,0.494998261085,1.0,1.0
pilot_3,0.672927898479,1.0,1.0
pilot_3,0.856709512667,1.0,1.0
pilot_3,0.56693988699,1.0,1.0
pilot_3,0.72418230629,1.0,2.0
pilot_3,0.665378010006,1.0,1.0
pilot_3,0.642581085136,1.0,2.0
pilot_3,0.496859394436,1.0,2.0
pilot_3,0.704832298172,1.0,1.0
pilot_3,0.48300697259,1.0,2.0
pilot_3,0.588220189667,1.0,1.0
pilot_3,0.548029299633,1.0,1.0
pilot_3,0.805778241182,1.0,1.0
pilot_3,0.738101291037,1.0,2.0
pilot_3,0.864094844674,1.0,2.0
pilot_3,0.764367997588,1.0,2.0
pilot_3,1.08438963147,1.0,2.0
pilot_3,0.631369598148,1.0,2.0
pilot_3,0.600867417357,1.0,2.0
pilot_3,0.889285124125,1.0,2.0
pilot_3,0.613276877793,1.0,2.0
pilot_3,0.56158961029,1.0,1.0
pilot_3,0.855829665979,1.0,2.0
pilot_3,0.592073029384,1.0,2.0
pilot_3,0.649154169223,1.0,1.0
pilot_3,0.680649837297,1.0,2.0
pilot_3,0.502009940425,1.0,2.0
pilot_3,0.488679845977,0.0,1.0
pilot_3,0.529587616205,1.0,1.0
pilot_3,0.690147092871,1.0,2.0
pilot_3,0.554403885817,0.0,1.0
pilot_3,0.656902918421,1.0,1.0
pilot_3,0.969892347301,1.0,2.0
pilot_3,0.661144269387,1.0,2.0
pilot_3,0.553139157473,1.0,1.0
pilot_3,0.884678294831,1.0,2.0
pilot_3,0.630387447149,1.0,1.0
pilot_3,0.817408587976,1.0,1.0
pilot_3,0.674788371838,1.0,1.0
pilot_3,0.569700669872,1.0,2.0
pilot_3,0.918807277878,1.0,2.0
pilot_3,0.77889268718,1.0,2.0
